KOTA,KATEGORI USAHA,TAHUN,JENIS KELAMIN,UMUR,PENDIDIKAN TERAKHIR,STATUS,JENIS LAPANGAN USAHA,KBLI,SERTIFIKASI,KLASIFIKASI USAHA,WILAYAH PEMASARAN UKM
PACITAN,MEMBUAT OLAHAN EMPON EMPON,2016,PEREMPUAN,33,TAMAT SLTA,CV,INDUSTRI PENGOLAHAN,1076.0,"MERK, HALAL",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
PACITAN,BATIK,2006,LAKI-LAKI,27,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PACITAN,PENGRAJIN BATIK TULIS,2010,LAKI-LAKI,36,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PACITAN,MEMBUAT BATIK TULIS & CAP,1983,PEREMPUAN,27,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1313.0,,KECIL 1: OMSET SATU TAHUN ANTARA 300 - 1 MILYAR,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PACITAN,MEMBINA JAMAAH YASIN IBU IBU HASIL (NASI TIWUL KHAS PACITAN) DAN MENGAJAR SANTRI TPA SYARIF HIDAYATULLOH,2009,LAKI-LAKI,46,TAMAT SLTP,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,9411.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,KONVEKSI KAOS DAN SABLON,2008,PEREMPUAN,36,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1411.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PONOROGO,THORENG,2012,PEREMPUAN,38,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1079.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
PONOROGO,PRODUKSI KRIPIK SALE PISANG DAN STICK BAWANG,2013,PEREMPUAN,45,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1031.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
PONOROGO,MEMBUAT TAS ANYAM DAN FASHION,2017,PEREMPUAN,39,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1512.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PONOROGO,KERAJINAN BATIK TULIS,2019,PEREMPUAN,32,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1313.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
