Kabupaten/Kota;Tempat Usaha;Nilai Penjualan;Status Badan Usaha;Kategori KBLI;;;;
Kabupaten Ngawi;Keliling;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp10.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp5.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp200.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp70.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Ngawi;Keliling;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Keliling;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp1.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp7.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp5.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp2.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Keliling;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;F. Konstruksi;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;M,N. Aktivitas Penyewaan Dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan Dan Penunjang Usaha Lainnya;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;J. Informasi Dan Komunikasi;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;M,N. Aktivitas Penyewaan Dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan Dan Penunjang Usaha Lainnya;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Keliling;Rp0;Perorangan;B. Pertambangan Dan Penggalian;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;F. Konstruksi;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;E. Pengelolaan Air, Pengelolaan Air Limbah, Pengelolaan Dan Daur Ulang Sampah Dan Aktivitas Remediasi;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Ngawi;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp1.400.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp150.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp1.600.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp4.150.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp700.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp2.300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp650.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp4.200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp800.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp7.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
